name,phone,website,full address,city,state,zip,latitude,longitude,google rating,review count,category,hours,is_24_7,is_mobile,dupe_count
Flag Truck Center,+1 928-714-9062,http://www.flagtruckcenter.com/,"4200 E Rte 66, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.221176,-111.5859205,3.8,133,Truck repair shop,Friday: ['7AM-8PM']; Monday: ['7AM-8PM']; Saturday: ['8AM-5PM']; Sunday: ['Closed']; Thursday: ['7AM-8PM']; Tuesday: ['7AM-8PM']; Wednesday: ['7AM-8PM'],no,no,1
Flagstaff Engine & Machine,+1 928-214-6227,http://www.flagstaffengine.com/,"800 Historic Rte 66 #7, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1933438,-111.6602966,4.7,12,Diesel engine repair service,Friday: ['8AM-5:30PM']; Monday: ['8AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5:30PM']; Tuesday: ['8AM-5:30PM']; Wednesday: ['8AM-5:30PM'],no,no,1
Flagstaff Mobile Mechanic LLC,+1 928-856-9315,https://flagstafftransmission.com/,"2109 E 6th Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2102968,-111.6172455,4.5,200,Auto repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['9AM-4PM']; Sunday: ['9:30AM-4PM']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,yes,1
"Flagstaff Radiator & DPF, LLC.",+1 928-526-1713,,"5440 E Commerce Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.229514,-111.566422,4.7,31,Diesel engine repair service,Friday: ['8AM-4:30PM']; Monday: ['8AM-4:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-4:30PM']; Tuesday: ['8AM-4:30PM']; Wednesday: ['8AM-4:30PM'],no,no,2
Flagstaff Transmission Specialist,+1 928-774-2220,https://flagstafftransmission.com/,"2109 E 6th Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2103762,-111.6173231,4.1,133,Transmission shop,"Friday: ['8AM-12PM', '1-5PM']; Monday: ['8AM-5PM']; Saturday: ['9AM-4PM']; Sunday: ['9:30AM-4PM']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM']",no,no,1
Frys Automotive,+1 928-527-7573,,"3747 N Eagle Mountain Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.216496,-111.5904966,4.8,56,Auto repair shop,Friday: ['8AM-5:30PM']; Monday: ['8AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5:30PM']; Tuesday: ['8AM-5:30PM']; Wednesday: ['8AM-5:30PM'],no,no,1
Heath's Auto Service - Flagstaff,+1 928-223-5755,https://heathsauto.com/locations/flagstaff/,"1840 W Kaibab Ln, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.189631,-111.6765295,4.8,1011,Truck repair shop,Friday: ['7:30AM-5:30PM']; Monday: ['7:30AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7:30AM-5:30PM']; Tuesday: ['7:30AM-5:30PM']; Wednesday: ['7:30AM-5:30PM'],no,no,1
High Mountain Diesel Repair,,,"5381 N Dodge Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2290398,-111.570654,4.1,19,Diesel engine repair service,,no,no,1
"J.E.T.T. Towing - Heavy Duty, Off-Road Recovery & Semi-Truck Repair",+1 928-714-0354,http://www.jetttowing.com/,"5600 N Dodge Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2312606,-111.5686818,4.2,204,Truck repair shop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Johnson's Heavy Towing Inc,+1 928-526-9393,https://johnsonstowing.com/,"3700 N Eagle Mountain Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.216554,-111.589078,4.7,380,Towing service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
K&A Truck Services,+1 928-600-1085,https://sites.google.com/view/ka-truck-services/home,"3108 Monte Vista Dr B 8, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2188156,-111.6177253,5,35,Mechanic,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Little America Travel Center,+1 928-779-7942,https://flagstaff.littleamerica.com/travel-center/,"2515 E Butler Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.1914952,-111.6190392,4.1,1485,Truck stop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
MOUNTAIN TOPPERS,+1 928-213-1933,,"799 W Rte 66, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1922503,-111.6605505,4.4,56,Truck accessories store,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Matt's Equipment and Diesel Repair LLC,+1 928-814-9828,https://mattsedr.com/,"6988 Leupp Rd, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2408902,-111.428281,,,Diesel engine repair service,Friday: ['7:30AM-4:30PM']; Monday: ['7:30AM-4:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7:30AM-4:30PM']; Tuesday: ['7:30AM-4:30PM']; Wednesday: ['7:30AM-4:30PM'],no,no,1
Munoz & Sons Mobile Mechanics LLC,+1 928-233-2836,,"2369 Gambel Oak Trail, Flagstaff, AZ 86005",Flagstaff,Arizona,86005,35.2169286,-111.4907086,4.9,252,Mechanic,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,yes,1
"Murphys Heavy Towing, Off-Road Recovery & Semi Truck Repair",+1 928-853-5202,https://mtaz.com/,"5385 N Dodge Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.229012,-111.570725,4.8,1061,Truck repair shop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,2
"Northern Arizona Towing & Off Road Recovery, LLC",+1 928-266-5420,https://flagstafftransmission.com/services/towing,"2109 E 6th Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2103524,-111.6173063,4.9,62,Towing service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
P&M Trailer Sales,+1 928-526-2466,http://www.pmtrailers.com/,"7899 US-89, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.253266,-111.556226,4.8,209,Trailer repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,2
Profab Mobile Welding L.L.C. az roc#337171,+1 928-853-1980,http://www.profabmobilewelding.com/,"5755 Townsend-Winona Rd, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.246392,-111.546193,5,19,Welder,Friday: ['7AM-6PM']; Monday: ['7AM-6PM']; Saturday: ['7AM-6PM']; Sunday: ['7AM-6PM']; Thursday: ['7AM-6PM']; Tuesday: ['7AM-6PM']; Wednesday: ['7AM-6PM'],no,yes,1
RWC Group,+1 928-522-7035,https://www.rwcgroup.com/map-hours-directions-trucks-dealership--hours-flagstaff,"3800 E Huntington Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.21437,-111.5938065,4.1,102,Truck repair shop,Friday: ['7AM-5PM']; Monday: ['7AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7AM-5PM']; Tuesday: ['7AM-5PM']; Wednesday: ['7AM-5PM'],no,no,1
Randy's Downtown Garage,+1 928-774-1006,https://www.randysdowntowngarage.com/,"302 E Rte 66, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1966516,-111.6456709,4.5,231,Truck repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Rocky Mountain Truck Centers - Flagstaff,+1 928-275-7222,https://247breakdown.com/flagstaff-arizona/%3Fstate%3DAZ,"2515 E Butler Ave, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.1917607,-111.6179717,3.4,595,Truck repair shop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Rush Truck Centers - Flagstaff,+1 928-679-2900,https://www.rushtruckcenters.com/locations/15040000-flagstaff%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-flagstaff-main,"2620 E Huntington Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.1993243,-111.6162929,4.2,211,Truck repair shop,Friday: ['7AM-5PM']; Monday: ['7AM-5PM']; Saturday: ['8AM-12PM']; Sunday: ['Closed']; Thursday: ['7AM-5PM']; Tuesday: ['7AM-5PM']; Wednesday: ['7AM-5PM'],no,no,2
Ryder,+1 928-774-3915,https://ryder.com/,"600 S Thompson St, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1909543,-111.6752864,4.8,37,Truck repair shop,Friday: ['8AM-4:30PM']; Monday: ['8AM-4:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-4:30PM']; Tuesday: ['8AM-4:30PM']; Wednesday: ['8AM-4:30PM'],no,no,1
Seven Day Auto Service,+1 928-774-0808,https://sevendayautoservice.com/,"2101 N 3rd St, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2091308,-111.6149015,4.5,352,Auto glass repair service,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['8AM-5PM']; Sunday: ['8AM-5PM']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
"Soto Brothers Tires, Inc.",+1 928-607-8078,,"3220 E Rte 66, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2132013,-111.6009171,4.8,353,Tire shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['8AM-3PM']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Southern Hospitality Mobile Rv Repair and Services of Flagstaff,+1 559-578-6883,,"9745 E Carl Ln, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.251166,-111.476795,4.9,146,RV repair shop,Friday: ['9AM-5:30PM']; Monday: ['9AM-5:30PM']; Saturday: ['9:30AM-4:30PM']; Sunday: ['9:30AM-4:30PM']; Thursday: ['9AM-5:30PM']; Tuesday: ['9AM-5:30PM']; Wednesday: ['9AM-5:30PM'],no,yes,1
TAG Automotive Repair,+1 928-779-0658,https://tagautomotive.net/,"524 E Brannen Ave #2, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1935912,-111.6431593,4.7,150,Auto repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
Trailer Hitches at U-Haul,+1 928-779-5101,https://www.uhaul.com/Locations/Trailer-Hitches-near-Flagstaff-AZ-86004/937023/%3Futm_source%3Dgmb%26utm_medium%3Dhitch%26utm_campaign%3Duhaulsmlm%26utm_content%3D937023,"1982 E Huntington Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.1943639,-111.6262688,4.9,7,Trailer supply store,Friday: ['7AM-8PM']; Monday: ['7AM-7PM']; Saturday: ['7AM-7PM']; Sunday: ['9AM-5PM']; Thursday: ['7AM-7PM']; Tuesday: ['7AM-7PM']; Wednesday: ['7AM-7PM'],no,no,1
Unisource Energy Services,+1 877-837-4968,https://www.uesaz.com/,"1459 E Butler Ave, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1909096,-111.6335859,2.1,15,Gas company,Friday: ['7AM-4PM']; Monday: ['7AM-4PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7AM-4PM']; Tuesday: ['7AM-4PM']; Wednesday: ['7AM-4PM'],no,no,1
University Auto Repair,+1 928-707-8596,https://universityautoflagstaff.com/,"1864 S Woodlands Village Blvd, Flagstaff, AZ 86001",Flagstaff,Arizona,86001,35.1849557,-111.6680521,4.6,1170,Auto repair shop,Friday: ['7:30AM-5:30PM']; Monday: ['7:30AM-5:30PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7:30AM-5:30PM']; Tuesday: ['7:30AM-5:30PM']; Wednesday: ['7:30AM-5:30PM'],no,no,1
Velocity Truck Centers,+1 928-522-0400,https://www.velocitytruckcenters.com/,"4201 E Huntington Dr, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.216815,-111.5861136,3.5,347,Truck repair shop,Friday: ['7AM-5PM']; Monday: ['7AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['7AM-5PM']; Tuesday: ['7AM-5PM']; Wednesday: ['7AM-5PM'],no,no,2
Woodys Mobile Mechanic,+1 928-405-9321,,"2029 N Main St, Flagstaff, AZ 86004",Flagstaff,Arizona,86004,35.2087642,-111.6181252,4.4,7,Auto repair shop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,yes,1
AbleJaysLLC,+1 928-243-2235,,"200 Paradise Ave, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9283892,-110.1358038,4.7,38,Repair service,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,no,1
Arizona Automotive Services,+1 928-524-1965,,"222 W Hopi Dr, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.902295,-110.161625,4.6,34,Auto repair shop,Friday: ['8AM-5AM']; Monday: ['8AM-5AM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5AM']; Tuesday: ['8AM-5AM']; Wednesday: ['8AM-5AM'],no,no,1
BP truck Repair,+1 347-925-7135,https://bptruckrepairaz.com/,"1851 State Hwy 77, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9758993,-110.088893,3.6,98,Truck repair shop,Friday: ['8AM-8:30PM']; Monday: ['8AM-8:30PM']; Saturday: ['8AM-8:30PM']; Sunday: ['8AM-8:30PM']; Thursday: ['8AM-8:30PM']; Tuesday: ['8AM-8:30PM']; Wednesday: ['8AM-8:30PM'],no,no,1
Bobs Road Service,+1 928-524-2738,,"330 W Florida St, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9072074,-110.1634369,4.5,31,Tire shop,Friday: ['4AM-8PM']; Monday: ['4AM-8PM']; Saturday: ['9AM-5PM']; Sunday: ['2-8PM']; Thursday: ['4AM-8PM']; Tuesday: ['4AM-8PM']; Wednesday: ['4AM-8PM'],no,no,1
Carquest Auto Parts - HOLBROOK TRUCK & AUTO PARTS,+1 928-524-6868,https://www.carquest.com/locations/az/holbrook/6871/,"201 E Hopi Dr, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9011185,-110.1574685,4.6,110,Auto repair shop,Friday: ['7AM-5:30PM']; Monday: ['7AM-5:30PM']; Saturday: ['8AM-2PM']; Sunday: ['Closed']; Thursday: ['7AM-5:30PM']; Tuesday: ['7AM-5:30PM']; Wednesday: ['7AM-5:30PM'],no,no,1
Compound Diesel LLC,+1 480-787-1993,,"7301 AZ-77, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.8860363,-110.1662303,5,2,Truck repair shop,Friday: ['8:30AM-5PM']; Monday: ['8:30AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8:30AM-5PM']; Tuesday: ['8:30AM-5PM']; Wednesday: ['8:30AM-5PM'],no,no,1
Crowther's Custom & Auto,+1 928-241-1125,,"2009 Navajo Blvd, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9213871,-110.1489941,4.1,25,Auto repair shop,Friday: ['9AM-5PM']; Monday: ['9AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['9AM-5PM']; Tuesday: ['9AM-5PM']; Wednesday: ['9AM-5PM'],no,no,1
D&L MOBILE TRUCK REPAIR,+1 928-241-0794,,"401 W Vista, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9344558,-110.1417922,4.2,173,Truck repair shop,Friday: ['Open 24 hours']; Monday: ['Open 24 hours']; Saturday: ['Open 24 hours']; Sunday: ['Open 24 hours']; Thursday: ['Open 24 hours']; Tuesday: ['Open 24 hours']; Wednesday: ['Open 24 hours'],yes,yes,1
Electrical Rv Parts NOT,,,"516 W Hopi Dr, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.902702,-110.1645411,,,Auto parts store,,no,no,1
Future Tire and Automotive,+1 928-365-3600,https://www.futuretireaz.com/holbrook,"2416 Navajo Blvd, Holbrook, AZ 86025",Holbrook,Arizona,86025,34.9313007,-110.1369555,4.5,387,Auto repair shop,Friday: ['8AM-5PM']; Monday: ['8AM-5PM']; Saturday: ['Closed']; Sunday: ['Closed']; Thursday: ['8AM-5PM']; Tuesday: ['8AM-5PM']; Wednesday: ['8AM-5PM'],no,no,1
